Mois,Region,Pays,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2014-06-01,Autres Pays,Autres Pays,46,8,723,"15,7"
2014-05-01,Amérique Centrale,Amérique Centrale,67,10,1184,"17,7"
2014-05-01,Amérique du Nord,Canada,498,127,6509,"13,1"
2014-05-01,Amérique du Nord,États-Unis (y compris Hawaii),6044,1438,62114,"10,3"
2014-05-01,Amérique du Sud,Amérique du Sud,403,32,4572,"11,3"
2014-05-01,Asie,Asie,1345,61,10177,"7,6"
2014-05-01,Europe,Europe (hors France),1822,235,25851,"14,2"
2014-05-01,Europe,France,2903,222,76990,"26,5"
2014-05-01,Pacifique,Pacifique,1724,184,19203,"11,1"
2014-05-01,Autres Pays,Autres Pays,47,10,643,"13,7"
2014-04-01,Amérique Centrale,Amérique Centrale,160,35,1671,"10,4"
2014-04-01,Amérique du Nord,Canada,1210,837,15439,"12,8"
2014-04-01,Amérique du Nord,États-Unis (y compris Hawaii),5686,1945,62112,"10,9"
2014-04-01,Amérique du Sud,Amérique du Sud,667,141,8767,"13,1"
2014-04-01,Asie,Asie,1570,92,12694,"8,1"
2014-04-01,Europe,Europe (hors France),1784,475,28218,"15,8"
2014-04-01,Europe,France,2728,373,71197,"26,1"
2014-04-01,Pacifique,Pacifique,1891,339,21645,"11,4"
2014-04-01,Autres Pays,Autres Pays,41,4,986,24
2014-03-01,Amérique Centrale,Amérique Centrale,98,36,938,"9,6"
2014-03-01,Amérique du Nord,Canada,1467,939,18734,"12,8"
2014-03-01,Amérique du Nord,États-Unis (y compris Hawaii),6026,2507,65414,"10,9"
2014-03-01,Amérique du Sud,Amérique du Sud,494,178,7379,"14,9"
2014-03-01,Asie,Asie,1848,73,14134,"7,6"
2014-03-01,Europe,Europe (hors France),1373,323,21080,"15,4"
2014-03-01,Europe,France,2575,232,74073,"28,8"
2014-03-01,Pacifique,Pacifique,1484,173,18670,"12,6"
2014-03-01,Autres Pays,Autres Pays,45,10,900,20
2014-02-01,Amérique Centrale,Amérique Centrale,73,17,647,"8,9"
2014-02-01,Amérique du Nord,Canada,1104,643,14062,"12,7"
2014-02-01,Amérique du Nord,États-Unis (y compris Hawaii),4527,1685,45520,"10,1"
2014-02-01,Amérique du Sud,Amérique du Sud,409,141,5784,"14,1"
2014-02-01,Asie,Asie,1608,116,12435,"7,7"
2014-02-01,Europe,Europe (hors France),1464,456,21710,"14,8"
2014-02-01,Europe,France,2035,142,57474,"28,2"
2014-02-01,Pacifique,Pacifique,1174,262,12856,11
2014-02-01,Autres Pays,Autres Pays,16,2,508,"31,8"
2014-01-01,Amérique Centrale,Amérique Centrale,67,11,919,"13,7"
2014-01-01,Amérique du Nord,Canada,1146,786,13419,"11,7"
2014-01-01,Amérique du Nord,États-Unis (y compris Hawaii),4643,2500,50936,11
2014-01-01,Amérique du Sud,Amérique du Sud,379,76,4642,"12,2"
2014-01-01,Asie,Asie,1549,103,11926,"7,7"
2014-01-01,Europe,Europe (hors France),1579,570,20213,"12,8"
2014-01-01,Europe,France,1550,186,52982,"34,2"
2014-01-01,Pacifique,Pacifique,1465,231,17834,"12,2"
2014-01-01,Autres Pays,Autres Pays,44,19,529,12
2013-12-01,Amérique Centrale,Amérique Centrale,116,36,1116,"9,6"
2013-12-01,Amérique du Nord,Canada,679,277,8528,"12,6"
2013-12-01,Amérique du Nord,États-Unis (y compris Hawaii),5401,1629,58052,"10,7"
2013-12-01,Amérique du Sud,Amérique du Sud,542,130,7172,"13,2"
2013-12-01,Asie,Asie,1495,111,11456,"7,7"
2013-12-01,Europe,Europe (hors France),1377,249,23249,"16,9"
2013-12-01,Europe,France,2225,150,71621,"32,2"
2013-12-01,Pacifique,Pacifique,1919,318,36026,"18,8"
2013-12-01,Autres Pays,Autres Pays,78,5,907,"11,6"
2013-11-01,Amérique Centrale,Amérique Centrale,86,14,1068,"12,4"
2013-11-01,Amérique du Nord,Canada,755,288,10181,"13,5"
2013-11-01,Amérique du Nord,États-Unis (y compris Hawaii),4594,857,44373,"9,7"
2013-11-01,Amérique du Sud,Amérique du Sud,487,101,5958,"12,2"
2013-11-01,Asie,Asie,1357,42,10505,"7,7"
2013-11-01,Europe,Europe (hors France),1634,352,23442,"14,3"
2013-11-01,Europe,France,2331,286,68579,"29,4"
2013-11-01,Pacifique,Pacifique,1684,155,17881,"10,6"
2013-11-01,Autres Pays,Autres Pays,25,6,551,22
2013-10-01,Amérique Centrale,Amérique Centrale,67,21,720,"10,7"
2013-10-01,Amérique du Nord,Canada,521,178,6131,"11,8"
2013-10-01,Amérique du Nord,États-Unis (y compris Hawaii),3922,772,37052,"9,4"
2013-10-01,Amérique du Sud,Amérique du Sud,671,66,6751,"10,1"
2013-10-01,Asie,Asie,1526,45,11004,"7,2"
2013-10-01,Europe,Europe (hors France),2363,342,29701,"12,6"
2013-10-01,Europe,France,3770,364,93406,"24,8"
2013-10-01,Pacifique,Pacifique,1678,154,17761,"10,6"
2013-10-01,Autres Pays,Autres Pays,58,9,643,"11,1"
2013-09-01,Amérique Centrale,Amérique Centrale,43,9,362,"8,4"
2013-09-01,Amérique du Nord,Canada,421,104,5238,"12,4"
2013-09-01,Amérique du Nord,États-Unis (y compris Hawaii),3931,761,39916,"10,2"
2013-09-01,Amérique du Sud,Amérique du Sud,730,45,9048,"12,4"
2013-09-01,Asie,Asie,1302,29,9346,"7,2"
2013-09-01,Europe,Europe (hors France),3319,295,43443,"13,1"
2013-09-01,Europe,France,2714,231,65414,"24,1"
2013-09-01,Pacifique,Pacifique,1616,189,19442,12
2013-09-01,Autres Pays,Autres Pays,99,4,1555,"15,7"
2013-08-01,Amérique Centrale,Amérique Centrale,35,4,548,"15,7"
2013-08-01,Amérique du Nord,Canada,348,103,4554,"13,1"
2013-08-01,Amérique du Nord,États-Unis (y compris Hawaii),3967,690,40799,"10,3"
2013-08-01,Amérique du Sud,Amérique du Sud,481,33,4989,"10,4"
2013-08-01,Asie,Asie,1761,76,13183,"7,5"
2013-08-01,Europe,Europe (hors France),3564,347,44764,"12,6"
2013-08-01,Europe,France,2936,347,68205,"23,2"
2013-08-01,Pacifique,Pacifique,1518,316,18193,12
2013-08-01,Autres Pays,Autres Pays,45,6,577,"12,8"
2013-07-01,Amérique Centrale,Amérique Centrale,111,28,1203,"10,8"
