Mois,Region,Pays,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2009-01-01,Asie,Asie,1100,18,8343,"7,6"
2009-01-01,Europe,Europe (hors France),2011,417,22819,"11,3"
2009-01-01,Europe,France,2408,108,64507,"26,8"
2009-01-01,Pacifique,Pacifique,1525,66,15572,"10,2"
2009-01-01,Autres Pays,Autres Pays,29,6,251,"8,7"
2008-12-01,Amérique Centrale,Amérique Centrale,149,70,1489,10
2008-12-01,Amérique du Nord,Canada,574,241,7352,"12,8"
2008-12-01,Amérique du Nord,États-Unis (y compris Hawaii),3933,1557,39930,"10,2"
2008-12-01,Amérique du Sud,Amérique du Sud,466,114,5297,"11,4"
2008-12-01,Asie,Asie,1725,67,12279,"7,1"
2008-12-01,Europe,Europe (hors France),2186,547,28167,"12,9"
2008-12-01,Europe,France,3039,196,76886,"25,3"
2008-12-01,Pacifique,Pacifique,1827,134,25243,"13,8"
2008-12-01,Autres Pays,Autres Pays,41,11,916,"22,3"
2008-11-01,Amérique Centrale,Amérique Centrale,97,44,972,10
2008-11-01,Amérique du Nord,Canada,645,377,7887,"12,2"
2008-11-01,Amérique du Nord,États-Unis (y compris Hawaii),4058,1619,42464,"10,5"
2008-11-01,Amérique du Sud,Amérique du Sud,608,263,6283,"10,3"
2008-11-01,Asie,Asie,1571,80,10913,"6,9"
2008-11-01,Europe,Europe (hors France),2698,815,30310,"11,2"
2008-11-01,Europe,France,3073,264,75242,"24,5"
2008-11-01,Pacifique,Pacifique,1255,155,11764,"9,4"
2008-11-01,Autres Pays,Autres Pays,35,10,383,"10,9"
2008-10-01,Amérique Centrale,Amérique Centrale,110,54,1016,"9,2"
2008-10-01,Amérique du Nord,Canada,588,322,7244,"12,3"
2008-10-01,Amérique du Nord,États-Unis (y compris Hawaii),4628,2153,49094,"10,6"
2008-10-01,Amérique du Sud,Amérique du Sud,604,190,6030,10
2008-10-01,Asie,Asie,1327,52,8457,"6,4"
2008-10-01,Europe,Europe (hors France),3915,977,45414,"11,6"
2008-10-01,Europe,France,4607,663,102706,"22,3"
2008-10-01,Pacifique,Pacifique,2290,324,21062,"9,2"
2008-10-01,Autres Pays,Autres Pays,52,10,517,"9,9"
2008-09-01,Amérique Centrale,Amérique Centrale,58,7,610,"10,5"
2008-09-01,Amérique du Nord,Canada,467,237,6226,"13,3"
2008-09-01,Amérique du Nord,États-Unis (y compris Hawaii),4192,894,45751,"10,9"
2008-09-01,Amérique du Sud,Amérique du Sud,447,26,4670,"10,4"
2008-09-01,Asie,Asie,2180,48,13453,"6,2"
2008-09-01,Europe,Europe (hors France),4996,988,55626,"11,1"
2008-09-01,Europe,France,3422,215,74521,"21,8"
2008-09-01,Pacifique,Pacifique,2189,157,19702,9
2008-09-01,Autres Pays,Autres Pays,38,10,595,"15,7"
2008-08-01,Amérique Centrale,Amérique Centrale,35,10,406,"11,6"
2008-08-01,Amérique du Nord,Canada,347,81,4634,"13,4"
2008-08-01,Amérique du Nord,États-Unis (y compris Hawaii),4331,1398,44365,"10,2"
2008-08-01,Amérique du Sud,Amérique du Sud,410,43,4440,"10,8"
2008-08-01,Asie,Asie,2283,41,14791,"6,5"
2008-08-01,Europe,Europe (hors France),5705,818,67362,"11,8"
2008-08-01,Europe,France,3889,391,80433,"20,7"
2008-08-01,Pacifique,Pacifique,1563,218,14400,"9,2"
2008-08-01,Autres Pays,Autres Pays,38,4,691,"18,2"
2008-07-01,Amérique Centrale,Amérique Centrale,109,40,1177,"10,8"
2008-07-01,Amérique du Nord,Canada,427,102,5680,"13,3"
2008-07-01,Amérique du Nord,États-Unis (y compris Hawaii),4440,1269,46967,"10,6"
2008-07-01,Amérique du Sud,Amérique du Sud,658,59,7820,"11,9"
2008-07-01,Asie,Asie,1737,44,11827,"6,8"
2008-07-01,Europe,Europe (hors France),4518,614,55290,"12,2"
2008-07-01,Europe,France,4982,464,127917,"25,7"
2008-07-01,Pacifique,Pacifique,2178,182,22806,"10,5"
2008-07-01,Autres Pays,Autres Pays,62,3,799,"12,9"
2008-06-01,Amérique Centrale,Amérique Centrale,93,25,1032,"11,1"
2008-06-01,Amérique du Nord,Canada,415,85,5265,"12,7"
2008-06-01,Amérique du Nord,États-Unis (y compris Hawaii),4551,1387,49383,"10,9"
2008-06-01,Amérique du Sud,Amérique du Sud,449,29,4585,"10,2"
2008-06-01,Asie,Asie,1904,33,12438,"6,5"
2008-06-01,Europe,Europe (hors France),3762,396,45509,"12,1"
2008-06-01,Europe,France,3439,241,102293,"29,7"
2008-06-01,Pacifique,Pacifique,1891,287,20032,"10,6"
2008-06-01,Autres Pays,Autres Pays,47,19,692,"14,7"
2008-05-01,Amérique Centrale,Amérique Centrale,87,28,1246,"14,3"
2008-05-01,Amérique du Nord,Canada,708,183,8060,"11,4"
2008-05-01,Amérique du Nord,États-Unis (y compris Hawaii),5655,1862,54840,"9,7"
2008-05-01,Amérique du Sud,Amérique du Sud,591,28,6930,"11,7"
2008-05-01,Asie,Asie,1593,90,10682,"6,7"
2008-05-01,Europe,Europe (hors France),3406,639,38477,"11,3"
2008-05-01,Europe,France,3446,334,78274,"22,7"
2008-05-01,Pacifique,Pacifique,1929,249,19470,"10,1"
2008-05-01,Autres Pays,Autres Pays,70,14,800,"11,4"
2008-04-01,Amérique Centrale,Amérique Centrale,171,78,1747,"10,2"
2008-04-01,Amérique du Nord,Canada,793,381,8371,"10,6"
2008-04-01,Amérique du Nord,États-Unis (y compris Hawaii),5237,2668,53081,"10,1"
2008-04-01,Amérique du Sud,Amérique du Sud,675,214,9474,14
2008-04-01,Asie,Asie,1654,117,11432,"6,9"
2008-04-01,Europe,Europe (hors France),2290,776,26881,"11,7"
2008-04-01,Europe,France,3408,345,70485,"20,7"
2008-04-01,Pacifique,Pacifique,1695,304,17648,"10,4"
2008-04-01,Autres Pays,Autres Pays,39,6,558,"14,3"
2008-03-01,Amérique Centrale,Amérique Centrale,185,76,1853,10
2008-03-01,Amérique du Nord,Canada,736,338,8773,"11,9"
2008-03-01,Amérique du Nord,États-Unis (y compris Hawaii),5699,2514,55296,"9,7"
2008-03-01,Amérique du Sud,Amérique du Sud,666,242,7100,"10,7"
2008-03-01,Asie,Asie,2010,116,13128,"6,5"
2008-03-01,Europe,Europe (hors France),2270,571,30810,"13,6"
2008-03-01,Europe,France,3732,308,87651,"23,5"
2008-03-01,Pacifique,Pacifique,1491,211,15567,"10,4"
2008-03-01,Autres Pays,Autres Pays,40,9,555,"13,9"
2008-02-01,Amérique Centrale,Amérique Centrale,134,48,1290,"9,6"
2008-02-01,Amérique du Nord,Canada,858,529,10133,"11,8"
2008-02-01,Amérique du Nord,États-Unis (y compris Hawaii),4747,2702,45699,"9,6"
2008-02-01,Amérique du Sud,Amérique du Sud,396,115,4197,"10,6"
2008-02-01,Asie,Asie,1859,115,12216,"6,6"
2008-02-01,Europe,Europe (hors France),2472,860,28002,"11,3"
2008-02-01,Europe,France,3015,165,65012,"21,6"
2008-02-01,Pacifique,Pacifique,1253,113,12538,10
2008-02-01,Autres Pays,Autres Pays,31,5,413,"13,3"
2008-01-01,Amérique Centrale,Amérique Centrale,80,31,813,"10,2"
2008-01-01,Amérique du Nord,Canada,713,468,8929,"12,5"
2008-01-01,Amérique du Nord,États-Unis (y compris Hawaii),3878,2222,45292,"11,7"
2008-01-01,Amérique du Sud,Amérique du Sud,595,84,"7476,716796875","12,6"
2008-01-01,Asie,Asie,1383,101,9446,"6,8"
2008-01-01,Europe,Europe (hors France),2246,678,29836,"13,3"
2008-01-01,Europe,France,2322,228,"63912,296875","27,5"
2008-01-01,Pacifique,Pacifique,1858,177,"18140,7890625","9,8"
2008-01-01,Autres Pays,Autres Pays,27,4,765,"28,3"
2007-12-01,Amérique Centrale,Amérique Centrale,163,69,2049,"12,6"
2007-12-01,Amérique du Nord,Canada,594,266,"7542,697265625","12,7"
2007-12-01,Amérique du Nord,États-Unis (y compris Hawaii),5521,2317,"55804,478515625","10,1"
2007-12-01,Amérique du Sud,Amérique du Sud,682,120,"7723,4375","11,3"
2007-12-01,Asie,Asie,2075,51,"15327,740234375","7,4"
2007-12-01,Europe,Europe (hors France),2503,531,"35400,32421875","14,1"
2007-12-01,Europe,France,3335,83,"88577,25","26,6"
2007-12-01,Pacifique,Pacifique,2187,208,27498,"12,6"
2007-12-01,Autres Pays,Autres Pays,130,26,3071,"23,6"
2007-11-01,Amérique Centrale,Amérique Centrale,175,67,1728,"9,9"
2007-11-01,Amérique du Nord,Canada,757,418,"8808,26953125","11,6"
2007-11-01,Amérique du Nord,États-Unis (y compris Hawaii),4678,1464,"46236,3203125","9,9"
2007-11-01,Amérique du Sud,Amérique du Sud,446,48,"4809,466796875","10,8"
2007-11-01,Asie,Asie,1904,35,"13707,419921875","7,2"
2007-11-01,Europe,Europe (hors France),2760,650,32756,"11,9"
2007-11-01,Europe,France,3608,273,90918,"25,2"
2007-11-01,Pacifique,Pacifique,1788,205,"16839,837890625","9,4"
2007-11-01,Autres Pays,Autres Pays,113,16,1664,"14,7"
2007-10-01,Amérique Centrale,Amérique Centrale,198,101,"2023,30859375","10,2"
2007-10-01,Amérique du Nord,Canada,855,473,9875,"11,5"
2007-10-01,Amérique du Nord,États-Unis (y compris Hawaii),6353,2553,"61409,10546875","9,7"
2007-10-01,Amérique du Sud,Amérique du Sud,799,259,"9371,84375","11,7"
2007-10-01,Asie,Asie,2164,33,"15244,337890625",7
2007-10-01,Europe,Europe (hors France),4027,593,"48355,171875",12
2007-10-01,Europe,France,4338,359,"101835,5078125","23,5"
2007-10-01,Pacifique,Pacifique,2036,282,"20162,96875","9,9"
2007-10-01,Autres Pays,Autres Pays,121,18,1830,"15,1"
2007-09-01,Amérique Centrale,Amérique Centrale,84,9,890,"10,6"
2007-09-01,Amérique du Nord,Canada,459,131,"5497,9765625",12
2007-09-01,Amérique du Nord,États-Unis (y compris Hawaii),5259,1501,"51206,603515625","9,7"
2007-09-01,Amérique du Sud,Amérique du Sud,621,81,6958,"11,2"
2007-09-01,Asie,Asie,2312,25,"16195,7431640625",7
2007-09-01,Europe,Europe (hors France),4367,364,"53024,103515625","12,1"
2007-09-01,Europe,France,3470,178,"83435,62890625",24
2007-09-01,Pacifique,Pacifique,2072,187,"20113,2265625","9,7"
2007-09-01,Autres Pays,Autres Pays,145,11,2162,"14,9"
2007-08-01,Amérique Centrale,Amérique Centrale,72,25,816,"11,3"
2007-08-01,Amérique du Nord,Canada,453,147,"6142,67578125","13,6"
2007-08-01,Amérique du Nord,États-Unis (y compris Hawaii),5532,1716,"58107,47265625","10,5"
2007-08-01,Amérique du Sud,Amérique du Sud,547,182,6516,"11,9"
2007-08-01,Asie,Asie,2479,27,"17388,0419921875",7
2007-08-01,Europe,Europe (hors France),5994,1012,"76213,591796875","12,7"
2007-08-01,Europe,France,3761,276,"78436,34375","20,9"
2007-08-01,Pacifique,Pacifique,1874,284,"19260,408203125","10,3"
2007-08-01,Autres Pays,Autres Pays,185,36,2788,"15,1"
2007-07-01,Amérique Centrale,Amérique Centrale,105,38,"1395,166015625","13,3"
2007-07-01,Amérique du Nord,Canada,381,131,5397,"14,2"
2007-07-01,Amérique du Nord,États-Unis (y compris Hawaii),5825,1485,"62622,072265625","10,8"
2007-07-01,Amérique du Sud,Amérique du Sud,607,86,7578,"12,5"
2007-07-01,Asie,Asie,2252,31,"17422,599609375","7,7"
2007-07-01,Europe,Europe (hors France),4704,470,"63707,013671875","13,5"
2007-07-01,Europe,France,4888,313,"124507,7421875","25,5"
2007-07-01,Pacifique,Pacifique,2114,332,"21056,69921875",10
2007-07-01,Autres Pays,Autres Pays,158,21,2924,"18,5"
2007-06-01,Amérique Centrale,Amérique Centrale,136,40,1277,"9,4"
2007-06-01,Amérique du Nord,Canada,303,91,3877,"12,8"
2007-06-01,Amérique du Nord,États-Unis (y compris Hawaii),6058,2016,"64944,927734375","10,7"
2007-06-01,Amérique du Sud,Amérique du Sud,408,82,"4727,7109375","11,6"
2007-06-01,Asie,Asie,1794,31,"12979,1044921875","7,2"
2007-06-01,Europe,Europe (hors France),3922,523,"51273,474609375","13,1"
2007-06-01,Europe,France,3541,201,"106930,84765625","30,2"
2007-06-01,Pacifique,Pacifique,2587,319,"29641,90234375","11,5"
2007-06-01,Autres Pays,Autres Pays,34,8,968,"28,5"
2007-05-01,Amérique Centrale,Amérique Centrale,151,76,1761,"11,7"
2007-05-01,Amérique du Nord,Canada,566,274,6521,"11,5"
2007-05-01,Amérique du Nord,États-Unis (y compris Hawaii),6052,2170,"60308,775390625",10
2007-05-01,Amérique du Sud,Amérique du Sud,726,263,"9569,73046875","13,2"
2007-05-01,Asie,Asie,2206,191,"17929,6875","8,1"
2007-05-01,Europe,Europe (hors France),3027,564,"40422,298828125","13,4"
2007-05-01,Europe,France,2813,265,"67201,1875","23,9"
2007-05-01,Pacifique,Pacifique,2247,467,"22292,525390625","9,9"
2007-05-01,Autres Pays,Autres Pays,30,2,415,"13,8"
2007-04-01,Amérique Centrale,Amérique Centrale,186,70,"2380,056640625","12,8"
2007-04-01,Amérique du Nord,Canada,519,231,"6235,03515625",12
2007-04-01,Amérique du Nord,États-Unis (y compris Hawaii),5776,2160,"57709,09765625",10
2007-04-01,Amérique du Sud,Amérique du Sud,633,131,"7140,08984375","11,3"
2007-04-01,Asie,Asie,2147,175,"15998,2998046875","7,5"
2007-04-01,Europe,Europe (hors France),2266,425,"31578,8857421875","13,9"
2007-04-01,Europe,France,3513,305,"76141,5546875","21,7"
2007-04-01,Pacifique,Pacifique,2207,300,"20540,3544921875","9,3"
2007-04-01,Autres Pays,Autres Pays,43,7,403,"9,4"
2007-03-01,Amérique Centrale,Amérique Centrale,164,65,"1664,166015625","10,1"
2007-03-01,Amérique du Nord,Canada,779,376,"9438,61328125","12,1"
2007-03-01,Amérique du Nord,États-Unis (y compris Hawaii),5535,2078,"54077,935546875","9,8"
2007-03-01,Amérique du Sud,Amérique du Sud,520,100,"5696,5146484375",11
2007-03-01,Asie,Asie,2237,91,"16866,080078125","7,5"
2007-03-01,Europe,Europe (hors France),2847,791,"35212,3125","12,4"
2007-03-01,Europe,France,4107,368,"89817,48828125","21,9"
2007-03-01,Pacifique,Pacifique,1871,225,"18687,8657226563",10
2007-03-01,Autres Pays,Autres Pays,47,11,"743,14453125","15,8"
2007-02-01,Amérique Centrale,Amérique Centrale,94,29,"1089,296875","11,6"
2007-02-01,Amérique du Nord,Canada,923,496,11077,12
2007-02-01,Amérique du Nord,États-Unis (y compris Hawaii),4649,1894,"43693,794921875","9,4"
2007-02-01,Amérique du Sud,Amérique du Sud,498,107,"5916,9375","11,9"
2007-02-01,Asie,Asie,2091,58,"17757,44140625","8,5"
2007-02-01,Europe,Europe (hors France),2934,738,"32016,138671875","10,9"
2007-02-01,Europe,France,3163,154,"68028,5","21,5"
2007-02-01,Pacifique,Pacifique,1487,96,"14379,34375","9,7"
2007-02-01,Autres Pays,Autres Pays,20,7,498,"24,9"
2007-01-01,Amérique Centrale,Amérique Centrale,74,17,"803,740234375","10,9"
2007-01-01,Amérique du Nord,Canada,712,366,"9718,296875","13,6"
2007-01-01,Amérique du Nord,États-Unis (y compris Hawaii),4311,1832,"46040,232421875","10,7"
2007-01-01,Amérique du Sud,Amérique du Sud,506,63,"6128,568359375","12,1"
2007-01-01,Asie,Asie,1936,42,"14520,232421875","7,5"
2007-01-01,Europe,Europe (hors France),2693,496,"32130,2421875","11,9"
2007-01-01,Europe,France,2624,75,"74897,9375","28,5"
2007-01-01,Pacifique,Pacifique,2417,206,"21742,06640625",9
2007-01-01,Autres Pays,Autres Pays,81,8,1061,"13,1"
