Année,Region,Pays,ISO3,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2015,Europe (hors France),Allemagne,DEU,3538,1045,56357,"191,1"
2015,Europe (hors France),Autre Europe,,1286,294,18693,176
2015,Europe (hors France),Autriche,AUT,599,173,9664,"193,1"
2015,Europe (hors France),Belgique,BEL,923,241,18043,"238,5"
2015,Europe (hors France),Danemark,DNK,227,57,3528,205
2015,Europe (hors France),Espagne,ESP,2608,165,26735,"131,6"
2015,Europe (hors France),Finlande,FIN,38,13,290,"48,8"
2015,Europe (hors France),Italie,ITA,7993,428,98216,159
2015,Europe (hors France),Luxembourg,LUX,153,56,2576,"206,9"
2015,Europe (hors France),Norvège,NOR,242,75,3817,"183,5"
2015,Europe (hors France),Pays-Bas,NLD,467,79,6800,"166,3"
2015,Europe (hors France),Portugal,PRT,249,30,3757,"185,9"
2015,Europe (hors France),Royaume-Uni,GBR,4711,1261,58046,148
2015,Europe (hors France),Russie,RUS,448,94,5746,"151,3"
2015,Europe (hors France),Suède,SWE,443,134,6196,"174,1"
2015,Europe (hors France),Suisse,CHE,2845,597,54703,"232,7"
2015,France,France,FRA,35765,3187,975433,"332,2"
2015,Pacifique,Australie,AUS,9167,2023,106092,"137,4"
2015,Pacifique,Autre Pacifique,,37,3,592,"167,5"
2015,Pacifique,Cook,COK,299,10,5097,"196,8"
2015,Pacifique,Fidji,FJI,102,1,903,"102,2"
2015,Pacifique,Nouvelle-Calédonie,NCL,4185,127,72850,"202,4"
2015,Pacifique,Nouvelle-Zélande,NZL,7315,913,76695,124
2015,Pacifique,Samoa,WSM,85,2,833,"111,8"
2015,Pacifique,Tonga,TON,4,0,21,"12,3"
2015,Proche et Moyen Orient,Proche et Moyen Orient,,323,39,4811,"165,3"
2014,Afrique,Afrique,,286,63,5747,"255,2"
2014,Amérique Centrale,Autre Amérique Centrale,,50,16,603,"84,8"
2014,Amérique Centrale,Mexique,MEX,1010,287,12266,"151,3"
2014,Amérique du Nord,Canada,CAN,9270,4970,119213,"156,6"
2014,Amérique du Nord,Hawaii,USA,2187,488,27769,"145,2"
2014,Amérique du Nord,USA,USA,60076,19201,629259,"125,6"
2014,Amérique du Sud,Argentine,ARG,840,210,11996,"166,1"
2014,Amérique du Sud,Autre Amérique du Sud,,519,149,6102,"139,8"
2014,Amérique du Sud,Brésil,BRA,2767,463,33293,"144,8"
2014,Amérique du Sud,Chili,CHL,1421,147,17147,"145,7"
2014,Asie,Autre Asie,,27,4,470,"241,6"
2014,Asie,Chine,CHN,3268,223,29488,"109,5"
2014,Asie,Corée du Sud,KOR,746,64,6228,"103,8"
2014,Asie,Hong Kong,HKG,453,60,5505,"146,3"
2014,Asie,Inde,IND,422,31,3852,"123,4"
2014,Asie,Indonésie,IDN,84,28,1215,"213,2"
2014,Asie,Japon,JPN,12527,461,86121,"82,4"
2014,Asie,Malaisie,MYS,108,24,977,"111,7"
2014,Asie,Philippines,PHL,148,62,1682,"139,6"
2014,Asie,Singapour,SGP,318,45,3773,"138,9"
2014,Asie,Taïwan,TWN,144,13,1335,"75,5"
2014,Asie,Thaïlande,THA,43,4,515,"78,6"
2014,Europe (hors France),Allemagne,DEU,4028,1411,62292,"186,1"
